Participant,roi_sequence,experience
25.0,"15,19,15,5,5,5,2,2,1,1",ThirdYear
25.0,"1,11,11,11,11,11,11,1,1,11",ThirdYear
25.0,"11,11,19,7,16,19,7,7,7,16",ThirdYear
28.0,"19,15,9,8,0,0,0,9,9,9",FirstYear
28.0,"9,7,0,2,9,8,0,0,0,9",FirstYear
28.0,"9,0,17,17,12,13,15,13,15,9",FirstYear
28.0,"0,0,0,0,0,0,0,0,0,9",FirstYear
28.0,"9,8,8,8,8,8,9,9,9,7",FirstYear
28.0,"7,19,9,9,9,9,9,9,9,9",FirstYear
28.0,"30,9,9,9,9,9,8,9,9,9",FirstYear
28.0,"9,9,9,9,19,9,9,9,0,9",FirstYear
28.0,"0,9,0,19,0,0,17,18,17,17",FirstYear
28.0,"17,0,13,17,17,13,13,0,13,13",FirstYear
28.0,"0,5,5,5,5,7,11,11,2,2",FirstYear
28.0,"2,2,0,0,8,8,8,8,8,8",FirstYear
28.0,"8,8,8,8,8,8,8,8,8,9",FirstYear
28.0,"8,7,7,7,5,5,7,9,8,9",FirstYear
28.0,"9,0,0,9,9,0,9,2,0,4",FirstYear
28.0,"4,4,4,4,15,15,15,12,12,12",FirstYear
28.0,"13,20,21,23,23,33,28,24,24,30",FirstYear
28.0,"26,29,29,25,25,17,25,25,8,8",FirstYear
28.0,"8,1,3,3,8,0,2,22,2,0",FirstYear
28.0,"0,20,21,19,15,21,20,20,15,15",FirstYear
28.0,"14,0,18,18,19,18,0,14,14,0",FirstYear
28.0,"0,10,11,11,0,15,15,15,12,13",FirstYear
28.0,"12,11,12,12,12,12,12,12,12,11",FirstYear
28.0,"11,0,0,10,10,10,2,2,2,2",FirstYear
28.0,"2,2,2,12,12,12,0,0,0,0",FirstYear
28.0,"15,0,0,2,6,6,4,6,2,4",FirstYear
28.0,"3,4,4,4,4,4,4,4,4,4",FirstYear
28.0,"4,4,4,2,2,1,4,2,8,3",FirstYear
28.0,"4,2,2,3,3,9,8,9,25,25",FirstYear
28.0,"26,25,25,25,25,30,26,29,29,24",FirstYear
28.0,"24,23,0,3,3,8,8,8,8,8",FirstYear
28.0,"8,8,3,0,1,3,3,3,2,2",FirstYear
28.0,"1,1,3,8,3,1,1,2,2,1",FirstYear
28.0,"2,2,1,1,1,1,2,2,2,2",FirstYear
28.0,"2,5,2,2,2,6,0,5,12,11",FirstYear
28.0,"12,0,15,15,20,21,4,4,4,4",FirstYear
28.0,"4,4,4,4,4,4,2,4,4,4",FirstYear
28.0,"4,4,2,2,2,4,2,3,9,5",FirstYear
28.0,"3,3,3,3,3,3,3,3,3,3",FirstYear
28.0,"4,4,3,3,11,17,4,8,9,10",FirstYear
28.0,"21,11,19,19,17,15,9,21,9,4",FirstYear
28.0,"4,9,9,9,9,21,10,10,10,10",FirstYear
28.0,"10,1,1,21,21,19,19,11,8,4",FirstYear
28.0,"8,3,3,3,3,3,3,3,3,3",FirstYear
28.0,"3,3,3,3,3,3,3,3,3,3",FirstYear
28.0,"3,2,3,3,3,11,12,1,1,1",FirstYear
28.0,"1,3,5,3,4,3,3,3,3,3",FirstYear
28.0,"2,3,3,2,2,3,6,6,6,3",FirstYear
28.0,"2,2,2,12,12,14,14,11,11,11",FirstYear
28.0,"11,4,11,19,19,11,11,15,16,16",FirstYear
28.0,"14,12,14,12,14,12,12,13,15,11",FirstYear
28.0,"15,15,15,17,17,15,11,19,19,19",FirstYear
28.0,"20,21,1,1,1,1,1,1,1,1",FirstYear
28.0,"3,3,3,3,0,5,4,3,3,3",FirstYear
28.0,"0,3,3,3,2,2,5,10,4,9",FirstYear
28.0,"9,21,11,11,11,11,11,9,13,9",FirstYear
28.0,"7,5,7,15,16,16,16,12,12,12",FirstYear
28.0,"12,5,6,9,9,2,3,3,9,9",FirstYear
28.0,"17,17,16,16,9,9,9,9,9,15",FirstYear
28.0,"7,7,7,10,7,15,13,15,15,14",FirstYear
28.0,"13,14,14,14,14,14,14,13,12,9",FirstYear
28.0,"11,11,11,5,5,5,8,5,5,5",FirstYear
28.0,"5,5,5,5,5,8,8,8,0,2",FirstYear
28.0,"3,3,4,5,6,12,12,12,0,9",FirstYear
28.0,"14,16,16,17,16,20,20,17,9,17",FirstYear
28.0,"17,20,20,20,18,9,9,9,9,0",FirstYear
28.0,"9,9,10,10,10,10,15,3,9,9",FirstYear
28.0,"3,0,3,6,6,6,6,19,19,19",FirstYear
28.0,"1,1,1,5,18,18,14,0,9,3",FirstYear
28.0,"3,6,3,0,3,3,6,6,3,6",FirstYear
28.0,"3,3,0,6,6,6,6,6,17,3",FirstYear
28.0,"3,6,3,3,19,3,3,3,3,19",FirstYear
28.0,"19,19,19,19,19,18,19,20,18,2",FirstYear
28.0,"15,2,0,13,13,12,13,13,2,13",FirstYear
28.0,"11,8,8,8,8,9,3,3,1,4",FirstYear
28.0,"5,5,1,1,1,1,1,3,3,3",FirstYear
28.0,"3,3,3,3,3,3,3,3,3,7",FirstYear
28.0,"7,5,6,15,4,7,15,19,15,15",FirstYear
28.0,"15,11,11,11,2,2,2,1,2,2",FirstYear
28.0,"2,1,11,2,2,1,1,1,1,11",FirstYear
28.0,"11,11,11,11,11,14,13,18,19,19",FirstYear
28.0,"19,16,16,15,16,15,15,15,15,15",FirstYear
28.0,"18,18,2,4,4,2,7,6,18,13",FirstYear
28.0,"13,14,13,14,13,13,7,8,8,5",FirstYear
28.0,"5,6,9,7,4,5,5,5,8,7",FirstYear
28.0,"15,16,9,6,7,8,2,8,7,4",FirstYear
28.0,"2,2,11,11,11,11,2,2,2,2",FirstYear
28.0,"2,7,7,7,7,7,6,7,6,7",FirstYear
28.0,"6,7,1,1,1,11,11,2,15,16",FirstYear
29.0,"15,9,19,0,0,0,0,0,0,0",FirstYear
29.0,"10,8,7,7,0,0,17,17,17,13",FirstYear
29.0,"13,9,9,17,17,15,9,0,9,8",FirstYear
29.0,"9,18,9,0,19,9,7,9,9,8",FirstYear
29.0,"8,0,2,2,0,0,9,9,0,29",FirstYear
29.0,"9,9,19,12,13,0,13,13,15,0",FirstYear
29.0,"15,17,17,19,0,9,9,8,8,8",FirstYear
29.0,"8,9,9,9,9,7,5,5,17,13",FirstYear
29.0,"17,17,0,17,17,17,0,7,0,0",FirstYear
29.0,"9,0,9,19,0,12,12,4,6,4",FirstYear
29.0,"4,4,3,6,6,4,0,20,15,15",FirstYear
29.0,"15,14,10,11,14,12,13,12,12,12",FirstYear
29.0,"12,12,12,12,11,12,26,17,24,23",FirstYear
29.0,"23,2,0,12,4,4,1,1,1,1",FirstYear
29.0,"1,3,3,8,9,26,29,25,25,25",FirstYear
29.0,"29,26,31,0,18,0,18,23,23,0",FirstYear
29.0,"10,11,11,11,0,12,0,0,12,12",FirstYear
29.0,"12,0,4,26,29,29,29,29,30,4",FirstYear
29.0,"4,2,3,3,3,3,3,11,15,14",FirstYear
29.0,"12,19,17,0,4,3,3,3,3,3",FirstYear
29.0,"3,3,3,1,1,4,4,4,4,3",FirstYear
29.0,"3,1,1,0,1,1,20,9,9,4",FirstYear
29.0,"4,4,11,12,12,1,15,19,11,18",FirstYear
29.0,"13,13,13,19,19,19,1,19,1,13",FirstYear
29.0,"1,1,17,1,11,11,2,3,2,3",FirstYear
29.0,"3,0,2,6,15,16,16,15,12,11",FirstYear
29.0,"15,0,15,13,13,4,9,14,7,10",FirstYear
29.0,"5,5,5,9,12,12,16,14,14,14",FirstYear
29.0,"17,17,16,9,10,7,13,14,14,5",FirstYear
29.0,"5,8,8,15,5,5,5,6,15,7",FirstYear
29.0,"7,7,15,10,9,14,14,14,14,16",FirstYear
29.0,"17,17,17,17,17,17,17,17,17,17",FirstYear
29.0,"17,5,5,5,5,13,9,13,14,16",FirstYear
29.0,"0,12,3,8,0,13,5,5,4,3",FirstYear
29.0,"3,3,3,3,3,3,3,3,1,1",FirstYear
29.0,"18,2,14,11,7,15,15,0,13,13",FirstYear
29.0,"19,19,1,5,5,4,4,4,4,4",FirstYear
29.0,"2,2,18,13,2,13,3,3,3,3",FirstYear
29.0,"3,3,3,3,3,3,3,3,3,3",FirstYear
29.0,"3,3,3,3,6,9,3,13,13,11",FirstYear
29.0,"10,8,2,13,18,20,18,18,14,9",FirstYear
29.0,"0,6,3,2,5,13,13,18,18,18",FirstYear
29.0,"20,2,18,0,15,8,5,4,15,16",FirstYear
29.0,"15,15,13,12,5,5,5,4,2,1",FirstYear
29.0,"17,19,15,19,16,19,9,9,7,5",FirstYear
29.0,"5,5,5,5,13,13,12,13,13,11",FirstYear
29.0,"11,11,11,11,2,13,13,13,19,19",FirstYear
30.0,"0,9,9,0,8,0,0,9,9,9",FirstYear
30.0,"7,2,2,7,5,15,15,21,21,17",FirstYear
30.0,"13,29,9,0,9,18,19,19,17,0",FirstYear
30.0,"17,7,0,0,9,9,23,9,9,9",FirstYear
30.0,"9,19,9,9,19,0,9,0,8,8",FirstYear
30.0,"8,8,8,8,8,8,9,8,9,17",FirstYear
30.0,"17,12,15,15,15,0,17,13,17,20",FirstYear
30.0,"11,7,7,0,7,0,7,5,5,7",FirstYear
30.0,"2,0,0,0,2,0,0,19,0,17",FirstYear
30.0,"17,18,9,9,8,9,8,8,8,9",FirstYear
30.0,"8,17,17,8,8,8,8,8,9,9",FirstYear
30.0,"9,23,9,31,9,31,9,9,9,9",FirstYear
30.0,"9,9,9,9,9,8,8,9,9,9",FirstYear
30.0,"9,9,9,8,8,9,7,7,2,2",FirstYear
30.0,"2,2,8,0,0,9,9,9,0,8",FirstYear
30.0,"9,9,9,9,9,9,9,0,0,8",FirstYear
30.0,"0,9,9,9,9,8,9,9,9,9",FirstYear
30.0,"9,9,0,0,9,9,9,9,9,0",FirstYear
30.0,"0,0,0,0,0,0,9,9,7,7",FirstYear
30.0,"6,5,5,5,17,17,21,12,0,0",FirstYear
30.0,"13,29,11,7,2,2,2,2,9,19",FirstYear
30.0,"0,17,17,17,21,12,7,0,8,8",FirstYear
30.0,"0,0,7,2,2,2,2,2,2,7",FirstYear
30.0,"0,9,9,9,26,9,9,9,0,0",FirstYear
30.0,"9,9,9,8,9,9,9,9,9,0",FirstYear
30.0,"0,8,0,11,2,4,6,4,2,4",FirstYear
30.0,"2,1,1,1,3,24,24,24,0,22",FirstYear
30.0,"0,21,20,15,15,14,13,13,13,12",FirstYear
30.0,"11,11,12,14,16,16,14,10,14,16",FirstYear
30.0,"0,14,16,33,0,33,23,21,21,31",FirstYear
30.0,"30,29,26,26,31,28,25,25,25,8",FirstYear
30.0,"9,25,25,25,25,25,25,24,24,2",FirstYear
30.0,"2,2,2,2,1,1,1,2,2,1",FirstYear
30.0,"1,3,8,8,8,8,8,24,8,8",FirstYear
30.0,"24,32,26,29,26,32,29,26,0,28",FirstYear
30.0,"8,2,6,2,5,5,6,6,6,2",FirstYear
30.0,"6,6,2,2,4,2,4,0,4,4",FirstYear
30.0,"4,2,2,2,2,2,2,12,12,12",FirstYear
30.0,"13,13,12,20,0,19,16,12,13,20",FirstYear
30.0,"12,11,15,19,18,16,19,15,15,15",FirstYear
30.0,"15,15,10,18,16,21,21,19,18,19",FirstYear
30.0,"19,19,14,12,14,20,20,19,23,33",FirstYear
30.0,"22,0,10,10,0,19,18,20,20,33",FirstYear
30.0,"33,19,18,20,20,20,19,19,15,0",FirstYear
30.0,"24,24,8,8,8,8,3,0,3,3",FirstYear
30.0,"2,4,2,2,2,2,2,2,4,4",FirstYear
30.0,"2,2,2,2,2,22,22,22,0,24",FirstYear
30.0,"23,24,24,24,24,28,32,29,25,25",FirstYear
30.0,"29,25,30,28,31,25,25,9,8,8",FirstYear
30.0,"25,25,25,25,25,25,25,25,25,25",FirstYear
30.0,"25,25,25,25,25,8,8,3,8,9",FirstYear
30.0,"9,2,9,2,10,12,12,12,12,12",FirstYear
30.0,"12,12,12,12,12,12,12,12,12,12",FirstYear
30.0,"12,12,13,12,15,15,18,16,2,2",FirstYear
30.0,"5,12,12,0,12,12,11,10,4,9",FirstYear
30.0,"8,4,4,4,4,4,4,4,0,2",FirstYear
30.0,"3,8,8,4,2,2,3,3,3,3",FirstYear
30.0,"3,3,8,0,3,3,3,3,3,3",FirstYear
30.0,"3,3,2,2,2,12,12,16,19,19",FirstYear
30.0,"19,11,14,12,11,21,10,9,4,2",FirstYear
30.0,"3,3,5,21,10,9,21,21,4,8",FirstYear
30.0,"4,4,4,4,4,4,4,11,11,11",FirstYear
30.0,"4,4,4,3,3,4,5,11,11,11",FirstYear
30.0,"11,11,11,14,11,14,16,16,11,12",FirstYear
30.0,"15,16,16,15,15,15,11,17,14,19",FirstYear
30.0,"11,14,11,11,14,14,8,4,4,8",FirstYear
30.0,"11,11,11,14,1,1,1,1,3,1",FirstYear
30.0,"1,2,2,3,3,3,2,2,3,3",FirstYear
30.0,"3,21,11,10,21,10,21,10,10,4",FirstYear
30.0,"10,21,21,10,10,10,11,11,11,11",FirstYear
30.0,"11,11,11,11,11,11,11,11,11,11",FirstYear
30.0,"11,11,14,14,3,1,1,1,1,1",FirstYear
30.0,"20,20,1,1,1,1,1,3,3,0",FirstYear
30.0,"2,3,3,3,3,3,3,3,3,3",FirstYear
30.0,"3,3,3,3,2,2,2,3,3,3",FirstYear
30.0,"3,3,2,6,2,3,3,3,3,3",FirstYear
30.0,"3,3,3,3,3,3,3,3,3,3",FirstYear
30.0,"3,3,3,2,2,5,4,4,4,4",FirstYear
30.0,"4,5,4,4,4,4,4,5,5,2",FirstYear
30.0,"2,2,3,6,1,1,1,1,11,14",FirstYear
30.0,"17,19,19,21,10,11,4,1,1,1",FirstYear
30.0,"7,3,3,3,3,2,2,15,13,9",FirstYear
30.0,"10,9,9,12,12,12,12,5,5,5",FirstYear
30.0,"8,8,9,9,13,9,16,16,17,16",FirstYear
30.0,"17,16,17,16,16,16,13,9,13,13",FirstYear
30.0,"11,9,12,12,12,12,12,12,12,11",FirstYear
30.0,"12,5,5,5,9,8,10,0,15,13",FirstYear
30.0,"13,13,14,15,7,7,9,10,15,15",FirstYear
30.0,"7,7,7,7,7,15,15,15,13,13",FirstYear
30.0,"14,14,14,14,15,13,13,13,13,13",FirstYear
30.0,"13,14,14,14,14,14,14,14,11,9",FirstYear
30.0,"5,8,9,16,10,9,15,9,9,15",FirstYear
30.0,"17,17,20,4,4,21,21,20,0,4",FirstYear
30.0,"17,5,5,5,5,5,5,8,9,12",FirstYear
30.0,"9,5,16,16,17,17,17,17,17,17",FirstYear
30.0,"17,17,14,16,16,13,11,9,9,13",FirstYear
30.0,"3,9,13,8,3,8,16,8,8,1",FirstYear
30.0,"1,1,1,18,19,20,19,19,3,19",FirstYear
30.0,"19,19,2,18,18,20,18,0,20,2",FirstYear
30.0,"13,13,1,1,3,3,3,6,6,6",FirstYear
30.0,"6,6,9,9,9,9,8,13,9,9",FirstYear
30.0,"9,9,8,9,15,15,15,8,13,15",FirstYear
30.0,"8,13,15,9,9,9,15,15,15,3",FirstYear
30.0,"17,6,6,6,3,1,1,8,0,1",FirstYear
30.0,"1,1,2,12,18,20,20,14,0,14",FirstYear
30.0,"11,14,13,11,8,8,9,9,9,15",FirstYear
30.0,"15,17,17,6,3,3,3,3,17,3",FirstYear
30.0,"3,9,0,3,6,6,3,6,6,6",FirstYear
30.0,"6,6,6,6,6,6,3,3,3,6",FirstYear
30.0,"6,6,6,6,6,6,6,6,3,6",FirstYear
30.0,"6,6,6,6,6,6,6,6,6,0",FirstYear
30.0,"6,3,6,6,6,3,17,6,2,18",FirstYear
30.0,"15,9,11,13,14,13,2,1,13,13",FirstYear
30.0,"14,13,13,19,3,3,19,3,3,3",FirstYear
30.0,"3,3,3,3,3,3,6,6,6,3",FirstYear
30.0,"3,3,3,6,6,6,6,3,3,9",FirstYear
30.0,"2,2,0,13,15,7,4,4,10,11",FirstYear
30.0,"11,11,1,4,6,15,15,19,19,16",FirstYear
30.0,"0,19,19,16,19,0,7,7,7,8",FirstYear
30.0,"5,9,12,14,12,12,12,12,12,12",FirstYear
30.0,"12,12,12,12,13,8,12,13,12,12",FirstYear
30.0,"12,12,12,15,13,9,18,15,5,5",FirstYear
30.0,"4,2,2,3,1,1,5,6,15,15",FirstYear
30.0,"13,0,0,14,5,6,13,14,15,9",FirstYear
30.0,"9,15,17,17,19,15,16,19,18,18",FirstYear
30.0,"18,18,2,18,18,19,7,16,16,19",FirstYear
30.0,"19,16,19,16,16,16,19,19,11,11",FirstYear
30.0,"11,11,11,1,1,1,11,11,11,11",FirstYear
30.0,"11,2,11,11,2,1,1,5,8,11",FirstYear
30.0,"11,11,5,8,10,7,8,8,8,7",FirstYear
30.0,"10,2,2,10,10,2,2,2,2,2",FirstYear
30.0,"0,2,2,2,7,4,4,5,4,5",FirstYear
30.0,"7,15,16,16,13,5,5,5,5,5",FirstYear
32.0,"0,12,9,8,0,0,8,9,0,0",Control
32.0,"0,7,9,0,0,9,0,19,9,9",Control
32.0,"9,0,8,0,0,0,0,17,19,18",Control
32.0,"9,9,9,9,9,9,9,30,9,9",Control
32.0,"9,9,0,0,0,19,0,7,7,2",Control
32.0,"2,1,2,9,0,0,0,9,0,0",Control
32.0,"9,0,9,9,0,0,0,0,8,0",Control
32.0,"0,0,8,8,8,9,9,8,8,9",Control
32.0,"8,0,0,0,0,0,0,0,0,0",Control
32.0,"0,0,0,0,8,0,8,0,0,9",Control
32.0,"9,9,0,0,8,0,0,0,8,0",Control
32.0,"0,8,9,31,9,0,0,8,9,9",Control
32.0,"7,9,0,17,17,17,12,0,0,13",Control
32.0,"5,2,2,7,18,0,9,9,9,9",Control
32.0,"0,9,19,9,9,9,29,29,9,0",Control
32.0,"8,9,8,4,4,4,2,4,4,4",Control
32.0,"6,2,2,4,3,3,2,1,1,1",Control
32.0,"1,8,8,8,8,8,8,24,24,25",Control
32.0,"29,29,25,24,24,15,20,15,14,0",Control
32.0,"0,0,24,15,12,12,12,12,12,12",Control
32.0,"0,0,18,24,0,0,0,19,10,11",Control
32.0,"19,0,0,0,11,0,0,2,15,14",Control
32.0,"0,0,12,12,12,2,23,33,23,22",Control
32.0,"22,4,4,4,2,4,3,4,4,4",Control
32.0,"4,4,4,4,4,8,8,8,8,4",Control
32.0,"2,2,3,3,2,4,4,2,3,3",Control
32.0,"1,3,2,2,2,2,1,1,1,3",Control
32.0,"3,2,4,2,24,24,28,25,26,30",Control
32.0,"26,29,29,29,26,25,24,23,2,33",Control
32.0,"23,0,0,12,12,12,12,12,2,0",Control
32.0,"0,2,2,6,2,2,2,2,2,6",Control
32.0,"10,10,2,0,2,10,0,2,0,24",Control
32.0,"2,2,24,0,14,0,0,15,19,20",Control
32.0,"12,20,2,2,8,4,12,3,3,3",Control
32.0,"3,3,3,15,19,11,12,3,3,8",Control
32.0,"4,3,3,3,3,3,3,3,3,3",Control
32.0,"3,3,3,2,3,3,3,3,3,3",Control
32.0,"3,3,3,3,3,2,1,1,14,12",Control
32.0,"12,0,14,16,19,19,18,15,15,16",Control
32.0,"15,13,13,15,17,17,1,15,14,21",Control
32.0,"9,10,10,10,0,21,21,9,9,10",Control
32.0,"4,4,4,4,4,4,4,2,4,4",Control
32.0,"4,4,4,4,5,3,4,2,2,3",Control
32.0,"3,3,6,6,6,2,0,2,1,1",Control
32.0,"11,1,1,19,19,18,18,18,19,19",Control
32.0,"11,12,13,12,14,14,11,11,11,11",Control
32.0,"16,16,14,14,13,16,11,16,5,4",Control
32.0,"4,4,4,11,0,19,2,9,14,5",Control
32.0,"5,7,10,10,17,14,16,11,11,12",Control
32.0,"9,5,5,8,12,12,0,9,13,15",Control
32.0,"10,15,15,10,7,7,7,15,15,7",Control
32.0,"7,13,13,13,13,13,14,9,14,14",Control
32.0,"17,20,20,4,13,5,9,0,9,5",Control
32.0,"5,5,5,5,5,5,4,5,5,4",Control
32.0,"5,12,9,5,5,6,16,16,16,15",Control
32.0,"5,5,5,5,4,5,7,9,9,13",Control
32.0,"13,14,16,17,17,17,17,17,0,9",Control
32.0,"17,15,15,10,10,7,10,10,12,12",Control
32.0,"13,13,14,4,5,11,14,17,9,9",Control
32.0,"17,15,17,9,15,3,12,17,12,18",Control
32.0,"1,5,9,8,8,15,3,3,6,6",Control
32.0,"6,6,6,6,6,6,15,15,14,15",Control
32.0,"15,8,8,8,3,3,3,3,19,18",Control
32.0,"19,19,19,19,14,13,14,8,11,13",Control
32.0,"8,1,2,2,3,3,3,3,19,19",Control
32.0,"19,19,20,18,19,19,19,19,19,19",Control
32.0,"19,19,19,19,19,19,19,19,1,1",Control
32.0,"1,2,20,18,18,13,2,2,2,2",Control
32.0,"8,8,10,2,15,9,3,3,3,3",Control
32.0,"3,3,3,3,3,3,1,1,3,3",Control
32.0,"3,3,3,3,2,15,2,9,3,3",Control
32.0,"14,0,5,0,4,4,4,2,5,8",Control
32.0,"8,13,0,8,8,19,15,13,18,9",Control
32.0,"9,15,16,15,15,13,13,12,13,13",Control
32.0,"13,14,13,13,13,13,13,6,7,7",Control
32.0,"5,5,5,7,11,11,11,11,11,11",Control
32.0,"2,2,2,10,10,10,1,1,1,1",Control
32.0,"2,2,2,2,2,1,1,1,1,1",Control
32.0,"2,3,13,2,19,19,16,16,19,19",Control
32.0,"16,9,6,15,15,0,15,15,15,15",Control
32.0,"15,5,5,5,7,7,9,7,8,7",Control
32.0,"2,5,5,4,4,5,5,13,15,16",Control
33.0,"0,9,0,9,0,0,0,0,9,31",ThirdYear
33.0,"9,0,0,0,19,19,7,0,0,0",ThirdYear
33.0,"9,7,0,9,9,0,9,9,9,9",ThirdYear
33.0,"9,19,8,8,8,8,7,9,8,8",ThirdYear
33.0,"9,9,9,9,12,19,0,18,7,7",ThirdYear
33.0,"0,0,0,0,0,0,7,0,9,8",ThirdYear
33.0,"8,8,9,9,9,9,9,9,9,19",ThirdYear
33.0,"0,0,19,0,7,7,11,19,17,17",ThirdYear
33.0,"0,31,0,9,9,8,0,9,8,9",ThirdYear
33.0,"8,8,8,0,7,2,8,4,6,0",ThirdYear
33.0,"6,4,4,2,2,4,15,12,12,2",ThirdYear
33.0,"5,2,2,11,11,0,15,15,0,11",ThirdYear
33.0,"10,0,19,0,20,19,0,19,19,0",ThirdYear
33.0,"33,22,2,0,12,13,13,12,11,11",ThirdYear
33.0,"12,2,0,0,0,28,28,10,4,8",ThirdYear
33.0,"0,0,2,2,1,1,2,0,0,0",ThirdYear
33.0,"14,15,14,23,22,2,0,20,12,12",ThirdYear
33.0,"12,2,12,12,12,28,32,24,24,26",ThirdYear
33.0,"29,8,8,8,3,8,8,4,24,15",ThirdYear
33.0,"4,3,3,3,3,3,3,11,4,4",ThirdYear
33.0,"2,3,3,3,8,4,3,3,4,4",ThirdYear
33.0,"4,4,3,3,3,3,2,3,2,14",ThirdYear
33.0,"11,12,11,15,12,11,11,11,11,19",ThirdYear
33.0,"11,15,0,2,16,14,2,3,2,4",ThirdYear
33.0,"4,4,4,5,3,3,3,3,3,3",ThirdYear
33.0,"3,3,3,3,3,3,11,11,11,21",ThirdYear
33.0,"4,4,4,4,4,11,2,4,2,15",ThirdYear
33.0,"13,10,7,13,15,16,15,15,9,9",ThirdYear
33.0,"7,9,9,12,12,12,12,5,5,12",ThirdYear
33.0,"16,16,11,9,5,5,14,14,13,9",ThirdYear
33.0,"14,14,14,16,13,10,17,9,9,2",ThirdYear
33.0,"3,3,5,7,5,5,5,7,7,5",ThirdYear
33.0,"5,17,17,17,3,3,15,0,1,8",ThirdYear
33.0,"15,15,0,8,0,8,8,8,19,20",ThirdYear
33.0,"11,11,14,11,10,15,16,13,13,2",ThirdYear
33.0,"14,0,2,8,3,6,6,3,6,6",ThirdYear
33.0,"6,6,6,3,6,3,3,3,3,3",ThirdYear
33.0,"3,3,19,19,19,19,19,1,9,9",ThirdYear
33.0,"9,1,2,3,3,3,3,18,18,20",ThirdYear
33.0,"18,18,5,2,8,3,3,9,8,9",ThirdYear
33.0,"9,0,11,10,12,13,13,13,11,7",ThirdYear
33.0,"13,5,8,5,7,8,4,4,5,8",ThirdYear
33.0,"8,2,15,19,16,4,9,9,15,7",ThirdYear
33.0,"6,0,12,13,12,0,13,5,4,4",ThirdYear
33.0,"4,2,2,11,11,11,11,11,11,13",ThirdYear
33.0,"14,19,19,16,5,2,2,1,1,2",ThirdYear
33.0,"2,2,7,2,5,7,7,7,6,19",ThirdYear
33.0,"19,18,6,5,13,13,15,7,5,9",ThirdYear
33.0,"15,15,5,5,5,2,4,2,2,2",ThirdYear
1010.0,"19,9,0,0,0,0,0,9,9,9",CSI
1010.0,"18,0,17,7,2,0,2,9,0,0",CSI
1010.0,"8,9,7,7,9,8,0,19,0,11",CSI
1010.0,"0,0,0,0,9,9,7,0,30,0",CSI
1010.0,"0,2,2,7,2,0,2,0,0,0",CSI
1010.0,"0,0,9,9,9,0,0,0,0,0",CSI
1010.0,"0,9,9,0,9,8,9,9,8,8",CSI
1010.0,"19,9,19,9,0,0,23,9,9,9",CSI
1010.0,"0,12,9,9,9,8,8,8,9,9",CSI
1010.0,"9,9,8,8,8,7,0,7,2,7",CSI
1010.0,"7,7,5,0,13,8,13,14,12,15",CSI
1010.0,"13,21,21,13,0,19,17,0,17,17",CSI
1010.0,"17,0,20,19,0,0,18,18,0,0",CSI
1010.0,"9,9,9,9,0,0,0,2,2,2",CSI
1010.0,"2,2,2,2,7,2,2,7,7,2",CSI
1010.0,"2,0,0,0,0,0,9,9,9,0",CSI
1010.0,"0,9,8,8,9,8,9,9,0,9",CSI
1010.0,"9,9,9,9,9,9,8,15,4,6",CSI
1010.0,"4,4,3,3,1,1,8,12,12,11",CSI
1010.0,"12,0,11,15,0,0,21,23,0,21",CSI
1010.0,"23,23,23,23,23,23,19,18,18,24",CSI
1010.0,"0,18,18,0,16,15,15,14,10,10",CSI
1010.0,"12,11,11,11,11,12,12,12,0,14",CSI
1010.0,"11,2,2,4,6,6,6,2,4,5",CSI
1010.0,"2,4,8,1,1,1,1,8,25,30",CSI
1010.0,"28,25,9,4,2,9,3,2,2,2",CSI
1010.0,"2,2,3,3,3,1,1,2,2,2",CSI
1010.0,"2,10,0,2,23,0,23,12,12,12",CSI
1010.0,"0,11,10,10,10,24,24,29,24,8",CSI
1010.0,"8,32,29,25,24,8,0,4,10,10",CSI
1010.0,"4,2,3,3,3,3,3,3,3,3",CSI
1010.0,"2,11,16,3,3,4,8,8,11,10",CSI
1010.0,"9,11,11,1,1,1,14,3,3,3",CSI
1010.0,"3,3,4,4,11,0,15,4,4,4",CSI
1010.0,"4,11,12,11,13,12,14,16,16,15",CSI
1010.0,"1,1,17,19,11,12,0,3,3,4",CSI
1010.0,"3,3,3,3,3,3,3,3,3,3",CSI
1010.0,"3,3,3,3,3,2,2,2,3,3",CSI
1010.0,"4,10,9,9,11,11,21,2,3,2",CSI
1010.0,"2,2,6,6,0,1,4,4,3,3",CSI
1010.0,"3,11,2,9,10,9,21,9,9,9",CSI
1010.0,"11,11,19,1,21,9,9,9,10,21",CSI
1010.0,"10,10,1,1,12,13,13,12,15,11",CSI
1010.0,"4,4,4,0,3,4,4,5,3,3",CSI
1010.0,"1,1,6,3,7,7,3,2,3,4",CSI
1010.0,"4,4,9,4,11,11,2,2,11,11",CSI
1010.0,"11,16,4,9,13,9,9,5,5,9",CSI
1010.0,"11,4,9,16,17,4,5,6,5,6",CSI
1010.0,"4,4,4,13,13,13,13,14,14,11",CSI
1010.0,"11,11,7,7,10,15,15,0,10,10",CSI
1010.0,"10,5,6,8,8,4,4,4,4,4",CSI
1010.0,"12,4,16,16,17,17,4,4,4,17",CSI
1010.0,"17,17,17,17,17,17,9,9,15,9",CSI
1010.0,"3,3,14,17,17,5,5,6,4,4",CSI
1010.0,"8,8,8,1,2,3,3,4,4,17",CSI
1010.0,"21,21,9,9,9,15,15,13,13,11",CSI
